Ticker,Group,alpha_daily,alpha_ann_bps,alpha_p,beta,beta_p,R_squared,N
ESGU,ESG,3.3660761358862254e-06,8.482511862433288,0.8819131522058762,0.9816452301493714,0.0,0.9904940060867623,1758
SUSA,ESG,7.904988666184535e-06,19.920571438785032,0.8445335359982853,0.9642398161152302,0.0,0.9776328408924114,1758
ICLN,ESG,-8.783366182568109e-05,-221.34082780071634,0.79896331295712,0.9789048623620553,5.002404307747206e-124,0.4487924130073746,1758
SPY,Traditional,1.8841963057250895e-05,47.481746904272256,0.47739313313661624,0.9612763858951118,0.0,0.9897350009987934,1758
VTI,Traditional,-1.3748239694501367e-05,-34.64556403014344,0.312910740919085,0.986989168338295,0.0,0.996315749716703,1758
DIA,Traditional,-8.049051921586217e-05,-202.83610842397266,0.42298454674598207,0.8779030944608586,1.5284026512223685e-185,0.8798407115734592,1758
