Ticker,Group,alpha_ann_bps,alpha_p,beta_MKT,beta_SMB,beta_HML,R_squared,N
ESGU,ESG,-39.169519627100435,0.36452870409936755,0.995466286568403,-0.09672565578634847,-0.000913745169260495,0.9933537738843223,1758
SUSA,ESG,-6.703166398070869,0.946579394603427,0.9718643735310084,-0.05411855941680837,-0.0020096749183212415,0.9785547397721044,1758
ICLN,ESG,79.67971574764218,0.9244814686325576,0.884522103813774,0.6054429830048663,-0.1030859753870379,0.5017117799462096,1758
SPY,Traditional,-10.21393397307134,0.8232834142500615,0.9793577941629112,-0.11605020916240606,0.0196251527561061,0.9941785918662817,1758
VTI,Traditional,-39.017900329715026,0.19653554909567728,0.9900327327346594,-0.007475142996354775,0.027235533637522014,0.996806808372287,1758
DIA,Traditional,-265.1137393914928,0.17600352393768137,0.9124309222411248,-0.11343016412985975,0.2521599169582929,0.9290301795441561,1758
