Date,ESGU,SUSA,ICLN,SPY,VTI,DIA
2019-01-02,49.60154342651367,46.76230239868164,7.604124546051025,224.3825225830078,114.38394927978516,203.5823211669922
2019-01-03,48.4505500793457,45.54369354248047,7.54014778137207,219.02816772460938,111.73320007324219,197.78958129882812
2019-01-04,50.217830657958984,47.116981506347656,7.768636226654053,226.36459350585938,115.43168640136719,204.38499450683594
2019-01-07,50.544097900390625,47.626258850097656,7.832612991333008,228.14947509765625,116.59583282470703,205.32720947265625
2019-01-08,51.115055084228516,48.12188720703125,7.924009799957275,230.29299926757812,117.79585266113281,207.5605010986328
2019-01-09,51.25099182128906,48.29011917114258,7.987987041473389,231.36924743652344,118.3510513305664,208.432861328125
2019-01-10,51.45945739746094,48.490211486816406,8.079381942749023,232.1854248046875,118.93314361572266,209.3751220703125
2019-01-11,51.45491409301758,48.522029876708984,8.125082015991211,232.275146484375,118.96000671386719,209.2703399658203
2019-01-14,51.28724670410156,48.235572814941406,8.088521003723145,230.85801696777344,118.20777893066406,208.4503173828125
2019-01-15,51.75852966308594,48.73574447631836,8.042824745178223,233.50389099121094,119.49729919433594,209.93341064453125
2019-01-16,51.894466400146484,48.835784912109375,8.070242881774902,234.06887817382812,119.83759307861328,210.99774169921875
2019-01-17,52.293251037597656,49.21318817138672,8.189055442810059,235.84469604492188,120.80475616455078,212.6901092529297
2019-01-18,52.84517288208008,49.94982147216797,8.179915428161621,238.98374938964844,122.37190246582031,215.67938232421875
2019-01-22,52.111976623535156,49.2768440246582,8.079381942749023,235.75497436523438,120.69731903076172,213.0166473388672
2019-01-23,52.38386917114258,49.36324691772461,8.179915428161621,236.248291015625,120.82266998291016,214.5182647705078
2019-01-24,52.402000427246094,49.35414505004883,8.362709045410156,236.37387084960938,121.07341003417969,214.30001831054688
2019-01-25,52.81888198852539,49.913429260253906,8.417546272277832,238.37388610839844,122.21076965332031,215.9762420654297
2019-01-28,52.47449493408203,49.48147201538086,8.371848106384277,236.56222534179688,121.31520080566406,213.97702026367188
2019-01-29,52.347625732421875,49.38143539428711,8.463242530822754,236.248291015625,121.14505767822266,214.50953674316406
2019-01-30,53.19953536987305,50.12261962890625,8.518080711364746,239.9883270263672,122.97189331054688,218.4119415283203
2019-01-31,53.67986297607422,50.60914993286133,8.673454284667969,242.09596252441406,124.05551147460938,218.35955810546875
2019-02-01,53.652679443359375,50.70008850097656,8.682592391967773,242.21263122558594,124.23458862304688,218.67391967773438
2019-02-04,53.92820358276367,51.109336853027344,8.673454284667969,243.91664123535156,125.12113952636719,220.2802734375
2019-02-05,54.30975341796875,51.37760543823242,8.737432479858398,244.9391632080078,125.64055633544922,221.71197509765625
2019-02-06,54.287086486816406,51.35487747192383,8.682592391967773,244.61622619628906,125.51516723632812,221.63330078125
2019-02-07,53.761444091796875,50.88652038574219,8.591197967529297,242.28436279296875,124.32415008544922,219.91355895996094
2019-02-08,53.698001861572266,50.900150299072266,8.572916984558105,242.5802459716797,124.44950866699219,219.40716552734375
2019-02-11,53.92457962036133,51.08659744262695,8.646035194396973,242.71484375,124.70919799804688,219.07546997070312
2019-02-12,54.5499153137207,51.78230285644531,8.71915054321289,245.83607482910156,126.26738739013672,222.20965576171875
2019-02-13,54.81273651123047,51.9550895690918,8.728291511535645,246.63426208496094,126.66143798828125,223.318359375
2019-02-14,54.74930191040039,51.80958557128906,8.810547828674316,246.0871124267578,126.43753814697266,222.7595672607422
2019-02-15,55.11634063720703,52.268836975097656,8.7739896774292,248.76869201660156,127.82562255859375,226.4258270263672
2019-02-19,55.33839416503906,52.437076568603516,8.837965965270996,249.19932556152344,128.07632446289062,226.5658721923828
2019-02-20,55.39277267456055,52.51892852783203,8.792268753051758,249.70155334472656,128.3450164794922,227.16990661621094
2019-02-21,55.12723159790039,52.437076568603516,8.8471040725708,248.8136749267578,127.90621948242188,226.32080078125
2019-02-22,55.555904388427734,52.75082778930664,8.929361343383789,250.3563232421875,128.74798583984375,227.7564697265625
2019-02-25,55.673728942871094,52.855403900146484,8.965920448303223,250.69711303710938,128.93605041503906,228.38682556152344
2019-02-26,55.70090103149414,52.8099479675293,8.984197616577148,250.51783752441406,128.69424438476562,228.08035278320312
2019-02-27,55.68278121948242,52.94180679321289,8.920221328735352,250.4101104736328,128.739013671875,227.49383544921875
2019-02-28,55.51966094970703,52.782657623291016,8.86538314819336,249.94375610351562,128.47036743164062,226.9773712158203
2019-03-01,55.827796936035156,53.14642333984375,8.856246948242188,251.50425720214844,129.3300323486328,227.97535705566406
2019-03-04,55.52781295776367,52.891788482666016,8.874524116516113,250.58949279785156,128.73004150390625,226.10194396972656
2019-03-05,55.60122299194336,52.82813262939453,8.938502311706543,250.24867248535156,128.48826599121094,226.02310180664062
2019-03-06,55.21151351928711,52.459808349609375,8.819687843322754,248.73294067382812,127.5122299194336,224.8675079345703
2019-03-07,54.60429763793945,52.02329635620117,8.691733360290527,246.65216064453125,126.5181655883789,223.06422424316406
2019-03-08,54.59252166748047,51.98236846923828,8.682592391967773,246.1588897705078,126.25846099853516,222.97662353515625
2019-03-11,55.43809127807617,52.782657623291016,8.883663177490234,249.72850036621094,128.11215209960938,224.77127075195312
2019-03-12,55.60122299194336,52.94635772705078,8.956780433654785,250.67015075683594,128.54202270507812,223.98341369628906
2019-03-13,56.04530715942383,53.32375717163086,9.029895782470703,252.32937622070312,129.3658447265625,225.28785705566406
2019-03-14,56.017208099365234,53.39651107788086,8.984197616577148,252.1680145263672,129.25843811035156,225.45404052734375
2019-03-15,56.290000915527344,53.710269927978516,8.984197616577148,253.4139404296875,129.8583984375,226.63400268554688
2019-03-18,56.516578674316406,53.88759994506836,9.07559585571289,254.3326873779297,130.3419647216797,227.20425415039062
2019-03-19,56.4168815612793,53.85578155517578,9.029895782470703,254.395751953125,130.31509399414062,227.1078643798828
2019-03-20,56.36687088012695,53.707942962646484,9.093875885009766,253.6300506591797,129.7777862548828,225.71290588378906
2019-03-21,57.01715850830078,54.3056640625,8.984197616577148,256.4947814941406,131.30020141601562,227.72186279296875
2019-03-22,55.90755081176758,53.292728424072266,8.810547828674316,251.55813598632812,128.5598907470703,223.6689453125
2019-03-25,55.83479690551758,53.22429656982422,8.792268753051758,251.3689727783203,128.47166442871094,223.76541137695312
2019-03-26,56.25316619873047,53.6075553894043,8.856246948242188,253.24267578125,129.46205139160156,224.9847869873047
2019-03-27,55.953025817871094,53.33837127685547,8.7739896774292,251.91847229003906,128.86782836914062,224.67767333984375
2019-03-28,56.1440315246582,53.644065856933594,8.883663177490234,252.87330627441406,129.43504333496094,225.52862548828125
2019-03-29,56.51693344116211,53.95433044433594,8.920221328735352,254.4678955078125,130.2904052734375,227.3271026611328
2019-04-01,57.196327209472656,54.65243148803711,9.002477645874023,257.4856872558594,131.80299377441406,230.18701171875
2019-04-02,57.32639694213867,54.63417434692383,9.039037704467773,257.6117858886719,131.79403686523438,229.57293701171875
2019-04-03,57.308197021484375,54.84861755371094,9.048174858093262,258.01715087890625,132.109130859375,229.84486389160156
2019-04-04,57.43553924560547,54.90338134765625,9.121293067932129,258.7017517089844,132.3882293701172,231.40638732910156
2019-04-05,57.71749496459961,55.13151550292969,9.23096752166748,259.9539489746094,133.05445861816406,231.7397003173828
2019-04-08,57.890296936035156,55.19539260864258,9.221827507019043,260.152099609375,133.17152404785156,230.91513061523438
2019-04-09,57.453731536865234,54.84861755371094,9.15785026550293,258.81890869140625,132.37022399902344,229.4150390625
2019-04-10,57.73567581176758,55.11325454711914,9.267525672912598,259.7017517089844,132.9824676513672,229.4939422607422
2019-04-11,57.7811393737793,55.17258071899414,9.176131248474121,259.6296081542969,132.97349548339844,229.31838989257812
2019-04-12,58.16315460205078,55.592350006103516,9.15785026550293,261.38623046875,133.8647918701172,231.66090393066406
2019-04-15,58.135860443115234,55.464595794677734,9.221827507019043,261.2150573730469,133.75674438476562,231.4326934814453
